Guest201,1,MEDIUM
Guest848,1,HARD
Fred,1,EASY
Guest984,4,MEDIUM
Guest984,1,MEDIUM
Guest3757,12,MEDIUM
Guest1254,13,MEDIUM
Guest4347,2,EASY
Guest988,6,HARD
Guest3835,3,EASY
Guest4351,4,EASY
Guest1103,1,EASY
Guest3288,3,MEDIUM
Guest4001,4,EASY
Guest3449,3,EASY
Guest3449,0,EASY
Guest3449,0,EASY
Guest3449,5,EASY
Guest562,0,EASY
Guest3772,0,EASY
Guest2088,1,EASY
Guest2133,1,EASY
Guest2133,0,EASY
Guest2133,2,EASY
Guest2133,0,EASY
Guest2133,3,EASY
Guest2133,1,EASY
Guest2133,1,EASY
Guest2133,1,EASY
Guest2133,1,EASY
Guest2133,0,EASY
Guest4256,1,EASY
Guest644,1,EASY
Guest603,0,MEDIUM
Guest4507,0,EASY
Guest4507,2,EASY
Guest4507,6,EASY
Guest1348,4,EASY
Guest1348,0,EASY
Guest1348,5,EASY
Guest1348,12,EASY
Guest1909,0,EASY
Guest3352,4,EASY
Guest3981,5,EASY
Guest3981,5,EASY
Guest3981,3,EASY
Guest3981,1,EASY
Guest3066,0,MEDIUM
Ruben,14,MEDIUM
Guest4190,2,MEDIUM
Guest1904,10,MEDIUM
Guest1102,8,MEDIUM
Guest3977,0,MEDIUM
Guest3172,3,MEDIUM
Guest4365,15,MEDIUM
Guest2710,3,MEDIUM
Guest916,2,MEDIUM
Guest3723,3,MEDIUM
Guest2490,0,MEDIUM
Guest875,0,MEDIUM
Guest3665,6,MEDIUM
Guest4201,3,MEDIUM
Guest1340,8,MEDIUM
Guest4885,1,MEDIUM
Guest478,0,MEDIUM
Guest478,0,MEDIUM
Guest1597,0,MEDIUM
Guest2790,0,MEDIUM
Guest2212,0,MEDIUM
Guest2212,2,MEDIUM
Guest3216,0,MEDIUM
Guest3216,0,MEDIUM
Guest3216,0,MEDIUM
Guest1964,1,EASY
daynarae,13,EASY
Guest369,0,MEDIUM
Guest369,4,MEDIUM
Guest369,4,MEDIUM
Guest369,0,MEDIUM
Guest369,5,MEDIUM
snakemaster,15,MEDIUM
Guest555,6,MEDIUM
Guest241,1,MEDIUM
Guest3409,2,MEDIUM
Guest1666,1,MEDIUM
Guest2117,1,MEDIUM
Guest2300,0,EASY
Guest2127,4,EASY
Guest164,2,MEDIUM
Guest1056,2,EASY
Guest4197,4,HARD
Guest2846,3,MEDIUM
Guest977,26,MEDIUM
Guest766,2,MEDIUM
